claim_id,research_question,claim,source_table,source_columns,configuration_ids,evidence_value,scope,limitation
RQ1-C1,RQ1,"En la implementacion Horner utilizada (una multiplicacion + un rescale por etapa), la evaluacion de grado 3 consumio 3 niveles y la de grado 5 consumio 5 niveles (activacion aislada).",hito4_polynomial_ckks_error.csv,"degree, activation, levels_consumed",todas (6),"grado 3 -> 3 niveles; grado 5 -> 5 niveles (unico valor por grado, sin excepcion)","Activacion act3 aislada, estrategia Horner, perfiles n16384 d3/d5, 128-bit","Resultado de la implementacion evaluada, no propiedad universal de Horner (puede variar con grado efectivo, coeficientes nulos, politica de escalado). No incluye el nivel de fc2 en el bloque completo (4 y 6 respectivamente)."
RQ1-C2,RQ1,"Metodo e intervalo conservan la estructura homomorfica (mismo grado -> misma profundidad, mismos niveles, misma secuencia de operaciones), por lo que no modifican el costo teorico.",hito4_polynomial_ckks_error.csv,"method, interval_name, degree, levels_consumed, strategy",todas (6),levels_consumed identico dentro de cada grado (3 o 5) para todo metodo/intervalo,"Mismo grado, terminos activos, Horner, perfil CKKS, secuencia de operaciones","La igualdad es estructural (costo teorico), no del error numerico observado (ver RQ1-C3)."
RQ1-C3,RQ1,"Aunque la estructura sea identica, metodo e intervalo SI producen diferencias en el error numerico CKKS observado, porque cambian los coeficientes, sus magnitudes y la sensibilidad al redondeo.",hito4_polynomial_ckks_error.csv,"mae_ckks, method, interval_name, degree","chebyshev_d5_I1, chebyshev_d5_I2, least_squares_d5_I1, least_squares_d5_I2","MAE act3 grado 5 varia de 6.73e-5 (cheby_I2) a 1.57e-4 (cheby_I1), ~2.3x entre configs del mismo grado","Activacion act3, grado 5, 200 muestras por config","Diferencia en error numerico, no en accuracy (el Δ_CKKS de accuracy fue 0 en la muestra del 4F)."
RQ1-C4,RQ1,"El error numerico CKKS fue sistematicamente mayor en act3 que en las otras activaciones: act3 presento el mayor MAE CKKS en las seis configuraciones. Se asocia a las caracteristicas numericas propias de act3 (intervalo, distribucion, coeficientes), no a una cascada homomorfica.",hito4_polynomial_ckks_error.csv,"mae_ckks, activation",todas (6),"act3 es el MAXIMO de las 3 activaciones en las 6 configs (verificado el maximo, no el orden completo)","MAE CKKS sobre 200 muestras de preactivacion por activacion/config, evaluadas AISLADAMENTE (no en cascada homomorfica)","Las activaciones se evaluaron aisladamente sobre preactivaciones congeladas; el mayor error de act3 NO demuestra acumulacion en cascada entre capas (esa se mostro en el 3C-B para la CNN polinomica clara, no aqui). Solo se verifico el maximo, no el orden act3>act2>act1 completo. Especifico de ReducedLeNet."
RQ1-C5,RQ1,"El error numerico CKKS de la evaluacion polinomica es del orden de 1e-6 a 1.6e-4 (MAE), varios ordenes de magnitud menor que el error de aproximacion.",hito4_polynomial_ckks_error.csv,mae_ckks,"todas (6, x3 activaciones = 18 mediciones)",rango MAE CKKS global: 3.00e-6 a 1.57e-4,"Evaluacion polinomica aislada bajo CKKS, Horner, perfiles d3/d5","Es el error de evaluar el polinomio bajo cifrado, no el error de aproximacion a ReLU."
RQ2-C1,RQ2,"Bajo Horner, el grado determina la profundidad multiplicativa del bloque act3->fc2: grado 3 consumio 4 niveles, grado 5 consumio 6. La evaluacion aislada de grado 7 ya excedio la cadena segura (fallo antes de llegar a fc2); el bloque requeriria aun mas.",hito4_polynomial_strategy_decision.json; hito5_precision_depth_latency.csv,"degree, levels_consumed, degree7_status",todas (6) + veredicto grado 7,grado 3 -> 4 niveles bloque; grado 5 -> 6 niveles bloque; grado 7 no completo ni como activacion aislada Horner bajo n16384_c8 (el bloque tendria profundidad mayor),"Bloque act3->fc2, Horner, perfil n16384_c8 (scale 2^40, 128-bit, sin bootstrapping)","No factibilidad de grado 7 SOLO bajo Horner + n16384_c8 + sin bootstrapping; no es inviabilidad universal. El fallo se observo en la activacion aislada, no es estimacion."
RQ2-C2,RQ2,"El grado tiene relacion clara con la perdida de precision, pero no la determina en solitario (metodo/intervalo tambien influyen): grado 3 pierde 2.54-4.58pp; grado 5 reduce la perdida a 0.39-0.84pp (test completo, 10000 imagenes).",hito3c_validation_test_comparison.csv,"test_accuracy, delta_accuracy_vs_relu_test",todas (6),"ReLU test=0.9901; grado 5: cheby_I1=0.9862(-0.39pp, mejor de grado 5), lsq_I1=0.9843(-0.58pp), lsq_I2=0.9836(-0.65pp), cheby_I2=0.9817(-0.84pp); grado 3: lsq_I1=0.9647(-2.54pp), cheby_I1=0.9443(-4.58pp)","Test completo MNIST (10000 imagenes), CNN polinomica clara (Hito 3C)","Grado 5 PRESERVA casi toda la precision, NO la iguala. chebyshev_d5_I1 es la mejor de GRADO 5, no la mejor global (esa fue least_squares_d7_I2=0.9864, no factible bajo CKKS). Mismo grado 3, metodos difieren >2pp: el grado no determina la precision en solitario."
RQ2-C3,RQ2,"En grado 5 sobre test completo, Chebyshev supero ligeramente a minimos cuadrados; en grado 3, minimos cuadrados fue mejor. El metodo mejor depende del grado.",hito3c_validation_test_comparison.csv,"test_accuracy, method, degree","chebyshev_d5_I1, least_squares_d5_I1, chebyshev_d3_I1, least_squares_d3_I1",grado 5 I1: Cheby 0.9862 > LSQ 0.9843; grado 3 I1: LSQ 0.9647 > Cheby 0.9443,"Test completo MNIST, CNN polinomica clara",Diferencias pequenas (0.19pp en grado 5); no se ejecuto test de significancia estadistica.
RQ2-C4,RQ2,"El error CKKS fue suficientemente pequeno para no modificar ninguna prediccion en la muestra evaluada (100 imagenes): la perdida de accuracy observada estuvo dominada por la aproximacion, no por el cifrado.",hito4_ckks_validation_summary.csv,"delta_ckks_accuracy, prediction_agreement_poly_ckks, mean_logit_mae_ckks",todas (6),delta_ckks_accuracy=0 y prediction_agreement=1.000 en las 6 configs; logit MAE 4.7e-5 a 4.0e-4 (no nulo),"100 imagenes estratificadas (10/clase), bloque act3->fc2 cifrado, 600 inferencias",NO significa error CKKS cero: hubo MAE de logits no nulo. Significa que ese error no cambio el argmax en esta muestra. No se generaliza fuera de las 100 imagenes.
RQ2-C5,RQ2,"El trade-off situa grado 5 como el punto de mayor precision viable bajo el perfil: consumio los 6 niveles operativos sin margen para otra etapa multiplicativa equivalente, mientras grado 3 sacrifico precision por menor profundidad.",hito3c_validation_test_comparison.csv; hito5_precision_depth_latency.csv,"test_accuracy, levels_consumed, degree","chebyshev_d5_I1 (mejor precision), chebyshev_d3_I1 (menor profundidad)","grado 5 = 6 niveles operativos (limite util del bloque), accuracy hasta 0.9862; grado 3 = 4 niveles, accuracy 0.9443-0.9647; grado 7 no cabe",CNN polinomica clara (test) + factibilidad CKKS (perfil n16384_c8),"'Mayor precision viable' se limita a grados factibles (3 y 5). La mejor aproximacion en claro fue grado 7 (0.9864), no factible bajo CKKS: la mejor en claro no es la mejor bajo cifrado. Mayor grado no garantiza mejor precision (grados altos colapsaron en Hito 3)."
RQ3-C1,RQ3,"La latencia ABSOLUTA del bloque estuvo dominada por fc2 (rotaciones); la DIFERENCIA entre grados la explico act3. Grado 3 mediana ~189ms, grado 5 ~245ms (+30%).",hito5_latency_by_config.csv,"online_total_median_ms, online_total_p95_ms, degree",todas (6),grado 3: 188.7-189.0ms (P95 203-204ms); grado 5: 244.4-244.8ms (P95 257-263ms); +29.7%,"1800 inferencias (corrida oficial con desglose), bloque act3->fc2, CPU, Pyfhel 3.5.0","Cifras oficiales 189/245 (NO mezclar con preliminar 185/240). 'Inferencia cifrada' = bloque act3->fc2 (cifrado de z hasta descifrado de logits), NO CNN completa (prefijo en claro)."
RQ3-C2,RQ3,"Para un mismo grado, no se observaron diferencias materialmente relevantes en las medianas de latencia entre metodo (Cheby/LSQ) ni intervalo (I1/I2): <0.5ms.",hito5_latency_by_config.csv,"online_total_median_ms, act3_median_ms, method, interval_name",todas (6),"act3 grado 5: cheby_I1=81.49, cheby_I2=81.24, lsq_I1=81.29, lsq_I2=81.35 (rango 0.25ms); total grado 5: 244.4-244.8ms","Corrida oficial, mediana sobre 300 inferencias por config","Equivalencia DESCRIPTIVA (medianas), no prueba inferencial de equivalencia ni IC. Independencia estructural: mismo grado -> mismo circuito."
RQ3-C3,RQ3,"El incremento grado 3->5 provino casi enteramente de act3 (+42ms, 76% de +56ms). fc2 mantuvo estructura constante (70 rotaciones) con un aumento observado de ~10ms no aislado causalmente.",hito5_latency_by_stage.csv; hito5_latency_by_config.csv,"act3_median_ms, fc2_median_ms, encrypt_median_ms, decrypt_median_ms",chebyshev_d3_I1 vs chebyshev_d5_I1,"act3: 39.1->81.5ms (+42.4, 76%); fc2: 131.9->142.0ms (+10.1, estructura constante); encrypt: +3.2; decrypt: 0","Corrida oficial, desglose por etapa, residual temporal 0","act3 crece por mas multiplicaciones Horner (5 vs 3). El +10ms de fc2 puede asociarse al perfil/estado de ciphertexts, pero el experimento NO aislo causalmente ese efecto."
RQ3-C4,RQ3,"fc2 domino la latencia total del bloque (58-70%), por las 70 rotaciones del producto matriz-vector; su fraccion baja con el grado (act3 crece).",hito5_latency_by_config.csv,"fc2_share_pct, act3_share_pct",todas (6),fc2: 69.9% (grado 3) -> 58.0% (grado 5); act3: 20.7% -> 33.3%,"Corrida oficial, mediana por etapa","fc2 domina la latencia ABSOLUTA por las 70 rotaciones (7/logit x 10), independientes del grado. Su fraccion baja con el grado porque act3 crece, no porque fc2 baje."
